k_ratio,initialization_method,use_samples,use_mixup,total_rounds,convergence_rate,doesnt_converge_rate,collapse_rate,average_iterations,average_jaccard_score,bad_initialization_count
,run forward,True,True,200,0.165,0.03,0.805,4.181818181818182,0.9990969096909692,40
,run forward,True,False,200,0.14,0.015,0.845,3.7857142857142856,0.9989425770308122,40
,run forward,False,True,200,0.125,0.015,0.86,4.64,0.9996,40
,run forward,False,False,200,0.08,0.0,0.92,4.5,0.9981373762376238,40
,two points,True,True,200,0.565,0.08,0.355,4.0,0.9976095501175878,151
,two points,True,False,200,0.445,0.045,0.51,3.7865168539325844,0.9931026050390895,151
,two points,False,True,200,0.355,0.065,0.58,4.042253521126761,0.9923294669980668,151
,two points,False,False,200,0.245,0.01,0.745,3.7755102040816326,0.9965121397869781,151
,random,True,True,200,0.39,0.08,0.53,4.5,0.9954219091854324,0
,random,True,False,200,0.315,0.04,0.645,4.507936507936508,0.9874049330619226,0
,random,False,True,200,0.27,0.08,0.65,5.018518518518518,0.9889016516030688,0
,random,False,False,200,0.18,0.025,0.795,4.555555555555555,0.9989025324101036,0
