k_ratio,initialization_method,use_samples,use_mixup,total_rounds,good_convergence_rate,doesnt_converge_rate,collapse_rate,average_iterations,average_jaccard_score,bad_initialization_count
,run forward,True,True,300,0.15666666666666668,0.02666666666666667,0.8166666666666667,4.212765957446808,0.9989424899936802,50
,run forward,True,False,300,0.14666666666666667,0.013333333333333334,0.84,4.045454545454546,0.9986475265173577,50
,run forward,False,True,300,0.12,0.013333333333333334,0.8666666666666667,4.555555555555555,0.9994444444444446,50
,run forward,False,False,300,0.08,0.0,0.92,4.5,0.9979249174917492,50
,two points,True,True,300,0.5533333333333333,0.07333333333333333,0.37333333333333335,4.024096385542169,0.9971426800423738,224
,two points,True,False,300,0.45,0.04,0.51,3.837037037037037,0.9937302820482278,224
,two points,False,True,300,0.37,0.06333333333333334,0.5666666666666667,4.027027027027027,0.9931595648852266,224
,two points,False,False,300,0.25333333333333335,0.01,0.7366666666666667,3.8026315789473686,0.9955907714728677,224
,random,True,True,300,0.3933333333333333,0.09333333333333334,0.5133333333333333,4.508474576271187,0.9963008233199817,0
,random,True,False,300,0.33,0.05,0.62,4.454545454545454,0.9915858782794429,0
,random,False,True,300,0.27,0.07,0.66,5.037037037037037,0.9919887064959221,0
,random,False,False,300,0.17666666666666667,0.023333333333333334,0.8,4.6415094339622645,0.9988790599370704,0
