k_ratio,initialization_method,use_samples,use_mixup,total_rounds,good_convergence_rate,doesnt_converge_rate,collapse_rate,average_iterations,average_jaccard_score,bad_initialization_count
0.1,run forward,True,True,100,0.03,0.07,0.9,6.666666666666667,0.5743780459503365,0
0.1,run forward,True,False,100,0.04,0.05,0.91,5.5,0.6197699594335226,0
0.1,run forward,False,True,100,0.04,0.07,0.89,5.0,0.6258888969083114,0
0.1,run forward,False,False,100,0.01,0.04,0.95,7.0,0.6692307692307692,0
0.1,two points,True,True,100,0.09,0.41,0.5,5.333333333333333,0.5884227481652887,0
0.1,two points,True,False,100,0.08,0.25,0.67,6.75,0.5690426025124301,0
0.1,two points,False,True,100,0.09,0.32,0.59,5.222222222222222,0.5500938848674374,0
0.1,two points,False,False,100,0.03,0.18,0.79,5.666666666666667,0.646212063544788,0
0.1,random,True,True,100,0.02,0.23,0.75,8.0,0.6516386483273902,0
0.1,random,True,False,100,0.01,0.11,0.88,6.0,0.625,0
0.1,random,False,True,100,0.01,0.27,0.72,8.0,0.6944444444444444,0
0.1,random,False,False,100,0.01,0.08,0.91,8.0,0.5988023952095808,0
0.2,run forward,True,True,100,0.03,0.14,0.83,4.666666666666667,0.5098765432098765,0
0.2,run forward,True,False,100,0.01,0.13,0.86,4.0,0.6605504587155964,0
0.2,run forward,False,True,100,0.04,0.13,0.83,4.0,0.5956390102729756,0
0.2,run forward,False,False,100,0.06,0.09,0.85,4.833333333333333,0.6623714173180324,0
0.2,two points,True,True,100,0.09,0.77,0.14,5.333333333333333,0.6893461755617906,0
0.2,two points,True,False,100,0.07,0.64,0.29,6.857142857142857,0.6259279997887861,0
0.2,two points,False,True,100,0.09,0.69,0.22,5.666666666666667,0.6394612412675413,0
0.2,two points,False,False,100,0.05,0.41,0.54,6.6,0.6317134749821,0
0.2,random,True,True,100,0.09,0.7,0.21,6.222222222222222,0.5791938785512568,0
0.2,random,True,False,100,0.04,0.46,0.5,7.75,0.5583683473389356,0
0.2,random,False,True,100,0.05,0.46,0.49,5.8,0.5029087577233615,0
0.2,random,False,False,100,0.02,0.38,0.6,7.5,0.650570272259014,0
0.3,run forward,True,True,100,0.02,0.17,0.81,7.0,0.7580450522928399,0
0.3,run forward,True,False,100,0.02,0.16,0.82,5.5,0.5162048192771085,0
0.3,run forward,False,True,100,0.02,0.15,0.83,7.5,0.6955535390199636,0
0.3,run forward,False,False,100,0.02,0.14,0.84,7.5,0.6634352373290426,0
0.3,two points,True,True,100,0.1,0.85,0.05,6.0,0.696963280722013,0
0.3,two points,True,False,100,0.13,0.78,0.09,5.923076923076923,0.6813234136482643,0
0.3,two points,False,True,100,0.17,0.72,0.11,7.117647058823529,0.6799207504164769,0
0.3,two points,False,False,100,0.09,0.71,0.2,6.0,0.6764087110519504,0
0.3,random,True,True,100,0.15,0.8,0.05,7.933333333333334,0.6912700869376327,0
0.3,random,True,False,100,0.06,0.73,0.21,7.0,0.5494536215185455,0
0.3,random,False,True,100,0.05,0.75,0.2,5.8,0.6665040278006804,0
0.3,random,False,False,100,0.03,0.58,0.39,6.333333333333333,0.7020492441951068,0
0.4,run forward,True,True,100,0.01,0.21,0.78,6.0,0.7207207207207207,0
0.4,run forward,True,False,100,0.03,0.18,0.79,7.0,0.6954736885404108,0
0.4,run forward,False,True,100,0.05,0.16,0.79,7.8,0.7285335530794311,0
0.4,run forward,False,False,100,0.05,0.14,0.81,9.0,0.7070577710800915,0
0.4,two points,True,True,100,0.21,0.78,0.01,6.571428571428571,0.7231203488621393,0
0.4,two points,True,False,100,0.1,0.88,0.02,6.1,0.6854401683865735,0
0.4,two points,False,True,100,0.16,0.75,0.09,6.875,0.6931859305523493,0
0.4,two points,False,False,100,0.15,0.73,0.12,6.0,0.694914070760844,0
0.4,random,True,True,100,0.1,0.89,0.01,6.7,0.7193407613110523,0
0.4,random,True,False,100,0.08,0.85,0.07,7.375,0.7154712563028188,0
0.4,random,False,True,100,0.18,0.73,0.09,7.333333333333333,0.7031955995702434,0
0.4,random,False,False,100,0.13,0.68,0.19,6.923076923076923,0.7036104239724403,0
0.5,run forward,True,True,100,0.06,0.17,0.77,6.666666666666667,0.7000288448564311,0
0.5,run forward,True,False,100,0.03,0.19,0.78,5.0,0.685656543319082,0
0.5,run forward,False,True,100,0.02,0.19,0.79,5.0,0.7314439946018894,0
0.5,run forward,False,False,100,0.03,0.17,0.8,5.0,0.7127191886019734,0
0.5,two points,True,True,100,0.18,0.79,0.03,6.5,0.7233169951935057,0
0.5,two points,True,False,100,0.16,0.81,0.03,7.0625,0.7166591210155211,0
0.5,two points,False,True,100,0.21,0.72,0.07,7.571428571428571,0.7219486839476784,0
0.5,two points,False,False,100,0.17,0.79,0.04,6.176470588235294,0.7133784303466716,0
